Abbrev	Ciudad	Region	Universidad-CO	Grado	Grado-Prev	Campo-Estudio	Fulbright-Grant	Genero	Area-Estudio	Departamento	Grado-Area-Estudio	Universidad-US	Cohorte
REG	TUNJA	Cundi-Boyacense	UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC	Ph.D.	BACHELOR	TEACHING ENGLISH AS A SECOND OR FOREIGN LANGUAGE/ESL LANGUAGE INSTRUCTOR	BECA DE POSTGRADO PARA LAS REGIONES	FEMALE	EDUCATION	BOYACA	Ph.D. CULTURAL STUDIES AND SOCIAL THOUGHT IN EDUCATION	Washington State University	2013
REG	BARRANQUILLA	Caribe	UNIVERSIDAD POPULAR DEL CESAR	Ph.D.	BACHELOR	TEACHING ENGLISH AS A SECOND OR FOREIGN LANGUAGE/ESL LANGUAGE INSTRUCTOR	BECA DE POSTGRADO PARA LAS REGIONES	MALE	EDUCATION	ATLANTICO	ENGLISH LANGUAGE AND LINGUISTICS	Purdue University	2013
REG	NEIVA	Tolima Grande	UNIVERSIDAD SURCOLOMBIANA	Ph.D.	BACHELOR	TEACHING ENGLISH AS A SECOND OR FOREIGN LANGUAGE/ESL LANGUAGE INSTRUCTOR	BECA DE POSTGRADO PARA LAS REGIONES	MALE	EDUCATION	HUILA	Ph.D. SECOND LANGUAGE ACQUISITION AND TEACHING	University of Arizona	2013
FLTA	MANIZALES	Eje Cafetero	UNIVERSIDAD DEL ATLANTICO	INV & DOC	BACHELOR	TEACHING ENGLISH OR FRENCH AS A SECOND OR FOREIGN LANGUAGE, OTHER	BECA PROFESOR COLOMBIANO DE INGLES	FEMALE	EDUCATION	CALDAS	TEACHING ASSISTANTS/AIDES OTHER	Gardner-Webb University	2013
PETRO	SABANETA	Valle Aburra	UNIVERSIDAD PONTIFICIA BOLIVARIANA	MASTER'S	BACHELOR	TELECOMMUNICATIONS ENGINEERING	BECA PARA EL DESARROLLO DE LAS REGIONES PETROLERAS	MALE	ENGINEERING & APPLIED SCIENCES	ANTIOQUIA	M.S. ELECTRICAL AND COMPUTER ENGINEERING	University of Massachusetts Amherst	2015
CLC-DNP	VILLAVICENCIO	Llanos Orientales	UNIVERSIDAD DE LOS LLANOS	Ph.D.	BACHELOR	VETERINARIA	BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	META		University of Arkansas, Fayetteville	2002
FLB-CLC	MANIZALES	Eje Cafetero	UNIVERSIDAD DE CALDAS	MASTER'S	BACHELOR	VETERINARIA Y ZOOTECNIA	BECA FULBRIGHT-COLCIENCIAS	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	CALDAS		University of Missouri - Columbia	1997
CLC- FLB	VILLAVICENCIO	Llanos Orientales	UNIVERSIDAD DE LOS LLANOS	Ph.D.	BACHELOR	VETERINARY MEDICINE AND ANIMAL SCIENCE	BECA COLCIENCIAS FULBRIGHT	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	META	Ph.D. INTEGRATIVE PATHOBIOLOGY	University of California - Davis	2015
ARTS	CARTAGENA	Caribe	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO	MASTER'S	BACHELOR	VISUAL AND PERFORMING ARTS, GENERAL	BECA FULBRIGHT - MINCULTURA PARA ARTISTAS	MALE	ART & ARCHITECTURE	BOLIVAR	MFA DESIGN AND TECHNOLOGY	The New School	2013
FLB-LSP	ARMENIA	Eje Cafetero		MASTER'S			BECA FULBRIGHT-LASPAU	FEMALE	EDUCATION	QUINDIO		University of Kansas	1981
FLB-LSP	ARMENIA	Eje Cafetero		Ph.D.			BECA FULBRIGHT-LASPAU	MALE	HUMANITIES & SOCIAL SCIENCES	QUINDIO		Arizona State University	1982
CLC-DNP	BARRANQUILLA	Caribe	UNIVERSIDAD DEL NORTE	Ph.D.			BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	ENGINEERING & APPLIED SCIENCES	ATLANTICO	MECHANICAL ENGINEERING	University of Texas at Austin	2001
FLB-LSP	CARTAGENA	Caribe		MASTER'S			BECA FULBRIGHT-LASPAU	MALE	ENGINEERING & APPLIED SCIENCES	BOLIVAR	CIVIL ENGINEERING	University of Connecticut	1981
FLB-LSP	CARTAGENA	Caribe		MASTER'S			BECA FULBRIGHT-LASPAU	FEMALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	BOLIVAR		UNIVERSITY OF MINNESOTA - TWIN CITIES	1984
JWF	TIBASOSA	Cundi-Boyacense	UNIVERSIDAD NACIONAL DE COLOMBIA	MASTER'S			BECA J. WILLIAM FULBRIGHT	MALE	ENGINEERING & APPLIED SCIENCES	BOYACA	INDUSTRIAL ENGINEERING	University of Cincinnati	1965
FLB-LSP	TUNJA	Cundi-Boyacense		MASTER'S			BECA FULBRIGHT-LASPAU	FEMALE	EDUCATION	BOYACA		Ohio University - Main Campus	1989
FLB-ICX	MANIZALES	Eje Cafetero		MASTER'S			BECA FULBRIGHT-ICETEX	MALE	PHYSICAL SCIENCES & MATHEMATICS	CALDAS	GEOPHYSICS	University of Oklahoma	1989
CLC-DNP	SANTA MARTA	Caribe	FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO	Ph.D.			BECA FULBRIGHT-COLCIENCIAS-DNP	MALE	BIOLOGICAL, AGRICULTURAL & HEALTH SCIENCES	MAGDALENA	MARINE BIOLOGY	University of South Carolina - Columbia	2000
FLB-LSP	PASTO	Sur Occidente		MASTER'S			BECA FULBRIGHT-LASPAU	MALE	HUMANITIES & SOCIAL SCIENCES	NARIÑO		Southern Illinois University Carbondale	1987
FLB-LSP	ARMENIA	Eje Cafetero		MASTER'S			BECA FULBRIGHT-LASPAU	FEMALE	EDUCATION	QUINDIO	EDUCATIONAL/INSTRUCTIONAL MEDIA DESIGN	Indiana University Bloomington	1984
FLB-LSP	PEREIRA	Eje Cafetero		MASTER'S			BECA FULBRIGHT-LASPAU	MALE	ENGINEERING & APPLIED SCIENCES	RISARALDA	MECHANICAL ENGINEERING	Colorado State University	1985
FLB-LSP	BUCARAMANGA	Santanderes		MASTER'S			BECA FULBRIGHT-LASPAU	MALE	ENGINEERING & APPLIED SCIENCES	SANTANDER		Pennsylvania State University	1990
TEP	TULUA	Sur Occidente		INV & DOC			TEACHER EXCHANGE PROGRAM	MALE	EDUCATION	VALLE DEL CAUCA		BRIGHTON HIGH SCHOOL	1988
